composition,ΔH
Zr0.00666667 Ti0.32666666 Mn0.48666666 V0.13666667 Cr0.01666667 Fe0.02666667,18.0
Zr0.01666667 Ti0.31666667 Mn0.49333333 Al0.00333333 V0.14333333 Fe0.02666667,25.6
Zr0.015 Ti0.31833333 Mn0.48253968 Al0.00952381 V0.13650794 Fe0.03809524,20.0
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,34.8
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Cu0.01002506 Ni0.32280702 Sn0.00300752,29.8
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Cu0.02005013 Ni0.32280702 Sn0.00300752,31.4
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Cu0.03007519 Ni0.32280702 Sn0.00300752,31.7
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Cu0.04010025 Ni0.32280702 Sn0.00300752,32.1
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Cu0.05012531 Ni0.32280702 Sn0.00300752,31.5
Zr0.20915033 Ti0.12418301 Mn0.05590062 Al0.00414079 V0.10041408 Cr0.08488613 Co0.01552795 Ni0.40269151 Sn0.00310559,29.0
Zr0.20905588 Ti0.12427746 Mn0.05606524 Al0.00407747 V0.09989806 Cr0.08562691 Co0.01529052 Ni0.40265036 Sn0.0030581,28.0
Zr0.20895522 Ti0.12437811 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,24.0
Zr0.20910973 Ti0.1242236 Mn0.05523256 Al0.00387597 V0.09883721 Cr0.09399225 Co0.01453488 Ni0.39728682 Sn0.00290698,23.0
Zr0.20873269 Ti0.12460064 Mn0.05620155 Al0.00387597 V0.0998062 Cr0.08527132 Co0.01550388 Ni0.40310078 Sn0.00290698,21.0
Zr0.20915033 Ti0.12418301 Mn0.05080352 Al0.00414723 V0.10057024 Cr0.05495075 Co0.04976672 Ni0.40331778 Sn0.00311042,26.0
Zr0.20905588 Ti0.12427746 Mn0.05104645 Al0.00408372 V0.10005105 Cr0.05513017 Co0.05002552 Ni0.40326697 Sn0.00306279,24.0
Zr0.20895522 Ti0.12437811 Mn0.05112782 Al0.00401002 V0.10025063 Cr0.05513784 Co0.05012531 Ni0.40300752 Sn0.00300752,22.0
Zr0.20910973 Ti0.1242236 Mn0.05113078 Al0.00393314 V0.10029499 Cr0.05506391 Co0.05014749 Ni0.40314651 Sn0.00294985,20.0
Zr0.20873269 Ti0.12460064 Mn0.05135659 Al0.00387597 V0.0998062 Cr0.05523256 Co0.0503876 Ni0.40310078 Sn0.00290698,12.0
Zr0.20915033 Ti0.12418301 Mn0.04140787 Al0.00414079 V0.10041408 Cr0.03519669 Co0.07971015 Ni0.4026915 Sn0.00310559,28.0
Zr0.20905588 Ti0.12427746 Mn0.04083716 Al0.00408372 V0.10005105 Cr0.03471159 Co0.08065339 Ni0.40326697 Sn0.00306279,27.0
Zr0.20895522 Ti0.12437811 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,12.0
Zr0.20910973 Ti0.1242236 Mn0.04123711 Al0.00392734 V0.10014728 Cr0.0353461 Co0.08051055 Ni0.40255277 Sn0.00294551,11.0
Zr0.20873269 Ti0.12460064 Mn0.04075691 Al0.00388161 V0.09995148 Cr0.0349345 Co0.08054343 Ni0.40368753 Sn0.00291121,7.0
Zr0.00906344 Ti0.32426989 Mn0.48126801 V0.14024976 Cr0.01633045 Fe0.02881844,28.7
Zr0.00898204 Ti0.32435129 Mn0.48484848 V0.13660414 Cr0.01539202 Fe0.02982203,28.7
Zr0.00815494 Ti0.32517839 Mn0.4789272 V0.1408046 Cr0.01628353 Fe0.03065134,28.7
Zr0.00788955 Ti0.32544379 Mn0.48164044 V0.13924654 Cr0.01621364 Fe0.02956605,28.7
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,33.7
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.01002506 Co0.07017544 Ni0.32280702 Sn0.00300752,39.2
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.02005013 Co0.06015038 Ni0.32280702 Sn0.00300752,28.4
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.03007519 Co0.05012531 Ni0.32280702 Sn0.00300752,37.4
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.04010025 Co0.04010025 Ni0.32280702 Sn0.00300752,38.5
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.05012531 Co0.03007519 Ni0.32280702 Sn0.00300752,39.3
Ti0.33333333 Mn0.45045045 Nb0.02252252 V0.19369369,25.71
Ti0.33333333 Mn0.45045045 Nb0.04054054 V0.17567568,23.68
Zr0.20895522 Ti0.12437811 Mn0.02606516 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.44010025,24.9
Zr0.20895522 Ti0.12437811 Mn0.05614035 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.41002506,31.4
Zr0.20895522 Ti0.12437811 Mn0.08621554 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.37994987,33.8
Zr0.20895522 Ti0.12437811 Mn0.11629073 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.34987469,38.6
Zr0.20895522 Ti0.12437811 Mn0.14636591 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.3197995,39.3
Zr0.20895522 Ti0.12437811 Mn0.1764411 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.28972431,40.0
Zr0.20895522 Ti0.12437811 Mn0.20651629 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.25964912,40.3
Zr0.20895522 Ti0.12437811 Mn0.23659148 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.22957393,42.3
Zr0.33333333 V0.22222222 Cr0.44444444,25.0
Zr0.33333333 V0.50980393 Cr0.15686274,25.29
Zr0.33333333 V0.2 Cr0.46666667,21.17
Zr0.33333333 V0.26666667 Cr0.4,26.61
Zr0.33333333 V0.66666667,21.74
Zr0.33333333 V0.66666667,18.46
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,40.63
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.01002506 Ni0.31278195 Sn0.00300752,40.37
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.02005013 Ni0.30275689 Sn0.00300752,40.34
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.03007519 Ni0.29273183 Sn0.00300752,40.21
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.04010025 Ni0.28270677 Sn0.00300752,39.99
Zr0.28571429 Ti0.04761905 Mn0.19487179 V0.09230769 Co0.05128205 Ni0.32820513,37.56
Zr0.24324324 Ti0.09009009 Mn0.15873016 V0.08465608 Co0.05291005 Ni0.37037037,37.39
Zr0.25925926 Ti0.07407407 Mn0.16666667 V0.08333333 Co0.11458333 Ni0.30208333,36.86
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,38.1
Mg0.00993542 Zr0.21783181 Ti0.11550152 Mn0.0804769 Al0.00397417 V0.0993542 Cr0.07451565 Co0.07948336 Ni0.31594635 Sn0.00298063,37.51
Mg0.01969473 Zr0.22187822 Ti0.11145511 Mn0.07976366 Al0.00393895 V0.09847366 Cr0.07385524 Co0.07877893 Ni0.30920729 Sn0.00295421,40.68
Mg0.02928258 Zr0.22607781 Ti0.10725552 Mn0.07906296 Al0.00390434 V0.09760859 Cr0.07320644 Co0.07808687 Ni0.30258663 Sn0.00292826,37.38
Mg0.03870344 Zr0.23043944 Ti0.10289389 Mn0.07837446 Al0.00387034 V0.09675859 Cr0.07256894 Co0.07740687 Ni0.29608128 Sn0.00290276,34.83
Mg0.04796163 Zr0.23497268 Ti0.09836066 Mn0.07769784 Al0.00383693 V0.09592326 Cr0.07194245 Co0.07673861 Ni0.28968825 Sn0.0028777,25.22
Zr0.1 Ti0.23333333 V0.2 Fe0.46666667,31.5
Zr0.16666667 Ti0.16666667 V0.13333333 Fe0.4 Ni0.13333333,33.09
Zr0.11666667 Ti0.21666667 V0.15 Fe0.51666666,26.62
Zr0.25 Ti0.08333333 V0.06666667 Fe0.33333333 Ni0.26666667,27.67
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,39.13
Y0.01002506 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Ni0.32280702 Sn0.00300752,41.63
Y0.02005013 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Ni0.32280702 Sn0.00300752,42.75
Y0.03007519 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Ni0.32280702 Sn0.00300752,44.93
Y0.04010025 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Ni0.32280702 Sn0.00300752,46.83
Y0.05012531 Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Ni0.32280702 Sn0.00300752,48.22
Y0.00301659 Zr0.21364985 Ti0.11968348 Mn0.08245349 Al0.00402212 V0.10155857 Cr0.07642031 Co0.07038713 Ni0.32579186 Sn0.00301659,40.02
Y0.0060698 Zr0.21372549 Ti0.11960784 Mn0.08295397 Al0.00404654 V0.10217501 Cr0.07688417 Co0.06170966 Ni0.32979262 Sn0.0030349,40.21
Y0.01011634 Zr0.21379981 Ti0.11953353 Mn0.0839656 Al0.00404654 V0.10318665 Cr0.0778958 Co0.05159332 Ni0.33282752 Sn0.0030349,41.77
Y0.01323155 Zr0.21414729 Ti0.11918605 Mn0.08447837 Al0.00407125 V0.10483461 Cr0.0783715 Co0.04173028 Ni0.33689567 Sn0.00305344,43.31
Y0.01633486 Zr0.2142171 Ti0.11911623 Mn0.08575804 Al0.00408372 V0.10617662 Cr0.07963247 Co0.0316488 Ni0.33996937 Sn0.00306279,45.19
